param d: 	 1 	 2 := 
1 	 1 	 2.20 
2 	 1 	 6.21 
3 	 1 	 7.41 
4 	 1 	 5.39 
5 	 1 	 6.91 
6 	 1 	 9.12 
7 	 1 	 7.79 
8 	 1 	 4.26 
9 	 1 	 3.39 
10 	 1 	 5.67 
11 	 1 	 7.13 
12 	 1 	 6.04 
13 	 1 	 7.19 
14 	 1 	 6.57 
15 	 1 	 2.76 
16 	 1 	 7.05 
17 	 1 	 6.72 
18 	 1 	 8.22 
19 	 1 	 4.35 
20 	 1 	 4.52 
21 	 1 	 7.45 
22 	 1 	 4.15 
23 	 1 	 7.62 
24 	 1 	 8.66 
25 	 1 	 7.42 
26 	 1 	 3.49 
27 	 1 	 5.42 
28 	 1 	 6.46 
29 	 1 	 6.75 
30 	 1 	 7.08 
31 	 1 	 8.42 
32 	 1 	 4.50 
33 	 1 	 2.95 
34 	 1 	 4.87 
35 	 1 	 6.16 
36 	 1 	 6.88 
37 	 1 	 3.51 
38 	 1 	 5.97 
39 	 1 	 4.88 
40 	 1 	 9.50 
41 	 1 	 6.80 
42 	 1 	 7.17 
43 	 1 	 2.76 
44 	 1 	 8.61 
45 	 1 	 8.01 
46 	 1 	 4.48 
47 	 1 	 9.07 
48 	 1 	 10.75 
49 	 1 	 2.01 
50 	 1 	 6.13 
51 	 1 	 3.22 
52 	 1 	 3.82 
53 	 1 	 2.85 
54 	 1 	 2.94 
55 	 1 	 7.20 
56 	 1 	 7.69 
57 	 1 	 4.00 
58 	 1 	 5.99 
59 	 1 	 4.31 
60 	 1 	 7.27 
61 	 1 	 5.68 
62 	 1 	 1.94 
63 	 1 	 6.74 
64 	 1 	 8.33 
65 	 1 	 7.66 
66 	 1 	 7.14 
67 	 1 	 8.89 
68 	 1 	 3.84 
69 	 1 	 4.88 
70 	 1 	 5.34 
71 	 1 	 5.82 
72 	 1 	 6.29 
73 	 1 	 4.16 
74 	 1 	 4.81 
75 	 1 	 7.19 
76 	 1 	 5.32 
77 	 1 	 6.98 
78 	 1 	 6.10 
79 	 1 	 7.48 
80 	 1 	 4.29 
81 	 1 	 3.22 
82 	 1 	 4.69 
83 	 1 	 7.41 
84 	 1 	 5.93 
85 	 1 	 5.84 
86 	 1 	 6.86 
87 	 1 	 4.19 
88 	 1 	 7.81 
89 	 1 	 5.64 
90 	 1 	 2.16 
91 	 1 	 8.81 
92 	 1 	 1.63 
93 	 1 	 2.05 
94 	 1 	 9.75 
95 	 1 	 4.76 
96 	 1 	 10.39 
97 	 1 	 10.00 
98 	 1 	 9.72 
99 	 1 	 9.06 
100 	 1 	 3.45 
101 	 1 	 6.26 
102 	 1 	 9.19 
103 	 1 	 5.70 
104 	 1 	 4.90 
105 	 1 	 6.76 
106 	 1 	 8.24 
107 	 1 	 7.75 
108 	 1 	 7.59 
109 	 1 	 8.82 
110 	 1 	 6.76 
111 	 1 	 4.96 
112 	 1 	 7.64 
113 	 1 	 6.46 
114 	 1 	 7.90 
115 	 1 	 3.89 
116 	 1 	 6.79 
117 	 1 	 4.74 
118 	 1 	 6.04 
119 	 1 	 7.41 
120 	 1 	 5.48 
121 	 1 	 8.19 
122 	 1 	 8.24 
123 	 1 	 6.53 
124 	 1 	 7.91 
125 	 1 	 6.07 
126 	 1 	 6.00 
127 	 1 	 3.28 
128 	 1 	 7.01 
129 	 1 	 8.68 
130 	 1 	 4.23 
131 	 1 	 4.61 
132 	 1 	 5.33 
133 	 1 	 2.89 
134 	 1 	 4.16 
135 	 1 	 1.48 
136 	 1 	 4.41 
137 	 1 	 7.80 
138 	 1 	 4.29 
139 	 1 	 5.00 
140 	 1 	 9.34 
141 	 1 	 4.19 
142 	 1 	 10.01 
143 	 1 	 8.00 
144 	 1 	 9.85 
145 	 1 	 6.53 
146 	 1 	 6.81 
147 	 1 	 1.19 
148 	 1 	 2.91 
149 	 1 	 8.62 
150 	 1 	 4.01 
151 	 1 	 9.44 
152 	 1 	 7.99 
153 	 1 	 8.19 
154 	 1 	 7.26 
155 	 1 	 7.92 
156 	 1 	 9.60 
157 	 1 	 6.36 
158 	 1 	 7.20 
159 	 1 	 7.62 
160 	 1 	 2.05 
161 	 1 	 3.57 
162 	 1 	 4.01 
163 	 1 	 1.74 
164 	 1 	 9.59 
165 	 1 	 4.43 
166 	 1 	 10.33 
167 	 1 	 9.03 
168 	 1 	 9.36 
169 	 1 	 8.18 
170 	 1 	 11.18 
171 	 1 	 5.67 
172 	 1 	 11.85 
173 	 1 	 10.71 
174 	 1 	 11.09 
175 	 1 	 9.79 
176 	 1 	 6.12 
177 	 1 	 1.27 
178 	 1 	 5.82 
179 	 1 	 4.17 
180 	 1 	 4.40 
181 	 1 	 6.58 
182 	 1 	 7.43 
183 	 1 	 7.64 
184 	 1 	 5.42 
185 	 1 	 6.99 
186 	 1 	 5.34 
187 	 1 	 5.36 
188 	 1 	 3.97 
189 	 1 	 2.79 
190 	 1 	 4.85 
191	1	200;
end;
